Symbol|Name|LastSale|MarketCap|IPOyear|Sector|industry|Summary Quote
ABY|Abengoa Yield plc|23.19|$2.32B|2014|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/aby
ABGB|Abengoa, S.A.|6.09|$1.02B|2013|Consumer Services|Military/Government/Technical|http://www.nasdaq.com/symbol/abgb
ABEO|Abeona Therapeutics Inc.|5.81|$141M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/abeo
ABEOW|Abeona Therapeutics Inc.|2.75|n/a|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/abeow
ANF|Abercrombie & Fitch Company|20.31|$1.41B|n/a|Consumer Services|Clothing/Shoe/Accessory Stores|http://www.nasdaq.com/symbol/anf
FAX|Aberdeen Asia-Pacific Income Fund Inc|4.76|$1.27B|1986|n/a|n/a|http://www.nasdaq.com/symbol/fax
IAF|Aberdeen Australia Equity Fund Inc|6.12|$140.38M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/iaf
CH|Aberdeen Chile Fund, Inc.|6.39|$59.98M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/ch
ABE           |Aberdeen Emerging Markets Smaller Company Opportunities Fund I|12.38|$120.89M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/abe           
FCO|Aberdeen Global Income Fund, Inc.|8.1884|$73.75M|1992|n/a|n/a|http://www.nasdaq.com/symbol/fco
GCH|Aberdeen Greater China Fund, Inc.|9.75|$89.58M|1992|n/a|n/a|http://www.nasdaq.com/symbol/gch
IF|Aberdeen Indonesia Fund, Inc.|6.65|$63.08M|1990|n/a|n/a|http://www.nasdaq.com/symbol/if
ISL|Aberdeen Israel Fund, Inc.|19.21|$78.18M|1992|n/a|n/a|http://www.nasdaq.com/symbol/isl
JEQ|Aberdeen Japan Equity Fund, Inc. |8.1016|$110.69M|1992|n/a|n/a|http://www.nasdaq.com/symbol/jeq
SGF|Aberdeen Singapore Fund, Inc.|10.33|$79.53M|1990|n/a|n/a|http://www.nasdaq.com/symbol/sgf
ABMD|ABIOMED, Inc.|95.57|$4.02B|n/a|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/abmd
ABM|ABM Industries Incorporated|33.53|$1.89B|n/a|Finance|Diversified Commercial Services|http://www.nasdaq.com/symbol/abm
AXAS|Abraxas Petroleum Corporation|1.89|$200.7M|n/a|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/axas
ACTG|Acacia Research Corporation|8.77|$447.7M|n/a|Miscellaneous|Multi-Sector Companies|http://www.nasdaq.com/symbol/actg
ACHC|Acadia Healthcare Company, Inc.|82.45|$5.91B|n/a|Health Care|Medical Specialities|http://www.nasdaq.com/symbol/achc
ACAD|ACADIA Pharmaceuticals Inc.|39.43|$3.97B|2004|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/acad
AKR|Acadia Realty Trust|31.66|$2.18B|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/akr
ACST|Acasti Pharma, Inc.|0.364|$38.81M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/acst
AXDX|Accelerate Diagnostics, Inc.|22.89|$1.02B|n/a|Capital Goods|Biotechnology: Laboratory Analytical Instruments|http://www.nasdaq.com/symbol/axdx
XLRN|Acceleron Pharma Inc.|28.61|$945.82M|2013|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/xlrn
ACN|Accenture plc.|105.2|$68.42B|2001|Miscellaneous|Business Services|http://www.nasdaq.com/symbol/acn
ANCX|Access National Corporation|19.25|$202.5M|n/a|Finance|Savings Institutions|http://www.nasdaq.com/symbol/ancx
ACCO|Acco Brands Corporation|7.94|$858.51M|n/a|Consumer Durables|Publishing|http://www.nasdaq.com/symbol/acco
ARAY|Accuray Incorporated|6.58|$519.73M|2007|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/aray
ACW|Accuride Corporation New|4.01|$192.28M|n/a|Capital Goods|Auto Parts:O.E.M.|http://www.nasdaq.com/symbol/acw
VXDN|AccuShares Spot CBOE VIX Down Shares|17.31|$7.36M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/vxdn
VXUP|AccuShares Spot CBOE VIX Up Shares|16.78|$7.13M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/vxup
ACE|Ace Limited|110.11|$35.65B|n/a|Finance|Property-Casualty Insurers|http://www.nasdaq.com/symbol/ace
ACRX|AcelRx Pharmaceuticals, Inc.|4.53|$201.02M|2011|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/acrx
ACET|Aceto Corporation|25.16|$732.56M|n/a|Health Care|Other Pharmaceuticals|http://www.nasdaq.com/symbol/acet
AKAO|Achaogen, Inc.|7.07|$127.61M|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/akao
ACHN|Achillion Pharmaceuticals, Inc.|7.3|$858.18M|2006|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/achn
ACIW|ACI Worldwide, Inc.|22.92|$2.7B|n/a|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/aciw
ACU|Acme United Corporation.|18.05|$59.85M|1988|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/acu
ACNB|ACNB Corporation|20.88|$125.91M|n/a|Finance|Major Banks|http://www.nasdaq.com/symbol/acnb
ACOR|Acorda Therapeutics, Inc.|32.37|$1.39B|2006|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/acor
ATV|Acorn International, Inc.|0.99|$27.41M|2007|Consumer Services|Other Specialty Stores|http://www.nasdaq.com/symbol/atv
AIII|ACRE Realty Investors, Inc.|1.38|$27.69M|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/aiii
ATNM|Actinium Pharmaceuticals, Inc.|2.15|$82.73M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/atnm
ACTS|Actions Semiconductor Co., Ltd.|1.36|$116.96M|2005|Technology|Semiconductors|http://www.nasdaq.com/symbol/acts
ACPW|Active Power, Inc.|1.91|$44.13M|2000|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/acpw
ATVI|Activision Blizzard, Inc|28.81|$21B|n/a|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/atvi
ACTA|Actua Corporation|13.55|$550.03M|n/a|Technology|EDP Services|http://www.nasdaq.com/symbol/acta
ATU|Actuant Corporation|23.55|$1.4B|n/a|Technology|Industrial Machinery/Components|http://www.nasdaq.com/symbol/atu
AYI|Acuity Brands Inc|210.01|$9.14B|n/a|Consumer Durables|Building Products|http://www.nasdaq.com/symbol/ayi
ACUR|Acura Pharmaceuticals, Inc.|0.6698|$39.52M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/acur
ACXM|Acxiom Corporation|20.73|$1.61B|n/a|Technology|EDP Services|http://www.nasdaq.com/symbol/acxm
ADMS|Adamas Pharmaceuticals, Inc.|23.83|$424.72M|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/adms
ADMP|Adamis Pharmaceuticals Corporation|3.59|$48.19M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/admp
ADX|Adams Diversified Equity Fund, Inc.|14.01|$1.3B|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adx
PEO|Adams Natural Resources Fund, Inc.|20.54|$526.94M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/peo
AE|Adams Resources & Energy, Inc.|46.75|$197.17M|n/a|Energy|Oil Refining/Marketing|http://www.nasdaq.com/symbol/ae
ADAP|Adaptimmune Therapeutics plc|13.73|$154.46M|2015|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/adap
ADK|Adcare Health Systems Inc|3.78|$73.14M|n/a|Health Care|Hospital/Nursing Management|http://www.nasdaq.com/symbol/adk
ADK^A|Adcare Health Systems Inc|24.94|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adk^a
ADUS|Addus HomeCare Corporation|28.8|$319.37M|2009|Health Care|Medical/Nursing Services|http://www.nasdaq.com/symbol/adus
AEY|ADDvantage Technologies Group, Inc.|2.24|$22.56M|n/a|Consumer Services|Office Equipment/Supplies/Services|http://www.nasdaq.com/symbol/aey
AGRO|Adecoagro S.A.|8.62|$1.04B|2011|Consumer Non-Durables|Farming/Seeds/Milling|http://www.nasdaq.com/symbol/agro
ADEP|Adept Technology, Inc.|7.12|$93.79M|n/a|Technology|Industrial Machinery/Components|http://www.nasdaq.com/symbol/adep
ADPT|Adeptus Health Inc.|113.03|$1.57B|1986|Health Care|Hospital/Nursing Management|http://www.nasdaq.com/symbol/adpt
ADMA|ADMA Biologics Inc|9.05|$96.89M|n/a|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/adma
ADBE|Adobe Systems Incorporated|83.62|$41.61B|1986|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/adbe
ADT|ADT Corporation|34.12|$5.8B|n/a|Consumer Services|Diversified Commercial Services|http://www.nasdaq.com/symbol/adt
ADTN|ADTRAN, Inc.|16.56|$826.82M|1994|Public Utilities|Telecommunications Equipment|http://www.nasdaq.com/symbol/adtn
ADRO|Aduro Biotech, Inc.|23.69|$1.47B|2015|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/adro
AAP|Advance Auto Parts Inc|173.66|$12.71B|n/a|Consumer Services|Other Specialty Stores|http://www.nasdaq.com/symbol/aap
WMS|Advanced Drainage Systems, Inc.|27.86|$1.48B|2014|Capital Goods|Containers/Packaging|http://www.nasdaq.com/symbol/wms
AEIS|Advanced Energy Industries, Inc.|27.49|$1.13B|1995|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/aeis
AMD|Advanced Micro Devices, Inc.|1.93|$1.5B|n/a|Technology|Semiconductors|http://www.nasdaq.com/symbol/amd
ASX|Advanced Semiconductor Engineering, Inc.|5.18|$8.17B|n/a|Technology|Semiconductors|http://www.nasdaq.com/symbol/asx
AAV|Advantage Oil & Gas Ltd|5.61|$957.69M|n/a|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/aav
ATE|Advantest Corporation (Kabushiki Kaisha Advantest) ADS|8.66|$1.73B|n/a|Technology|Semiconductors|http://www.nasdaq.com/symbol/ate
ADXS|Advaxis, Inc.|14.61|$458.7M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/adxs
ADXSW|Advaxis, Inc.|10.45|n/a|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/adxsw
AVK|Advent Claymore Convertible Securities and Income Fund|15.7|$370.22M|2003|n/a|n/a|http://www.nasdaq.com/symbol/avk
AGC|Advent Claymore Convertible Securities and Income Fund II|6.2199|$200.53M|2007|n/a|n/a|http://www.nasdaq.com/symbol/agc
LCM|Advent/Claymore Enhanced Growth & Income Fund|9.05|$123.11M|2005|n/a|n/a|http://www.nasdaq.com/symbol/lcm
MULT|AdvisorShares Sunrise Global Multi-Strategy ETF|24.4801|$2.45M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/mult
YPRO|AdvisorShares YieldPro ETF|22.98|$35.04M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/ypro
ACM|AECOM|31.17|$4.69B|2007|Consumer Services|Military/Government/Technical|http://www.nasdaq.com/symbol/acm
ANW|Aegean Marine Petroleum Network Inc.|11.31|$556.5M|2006|Energy|Oil Refining/Marketing|http://www.nasdaq.com/symbol/anw
AEGR|Aegerion Pharmaceuticals, Inc.|18.03|$515.15M|2010|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/aegr
AEGN|Aegion Corp|19.23|$696.86M|n/a|Basic Industries|Water Supply|http://www.nasdaq.com/symbol/aegn
AEB|Aegon NV|24.68|n/a|n/a|Finance|Life Insurance|http://www.nasdaq.com/symbol/aeb
AED|Aegon NV|25.6899|n/a|n/a|Finance|Life Insurance|http://www.nasdaq.com/symbol/aed
AEG|Aegon NV|7.91|$21.17B|n/a|Finance|Life Insurance|http://www.nasdaq.com/symbol/aeg
AEH|Aegon NV|25.52|n/a|n/a|Finance|Life Insurance|http://www.nasdaq.com/symbol/aeh
AEK|Aegon NV|27.76|n/a|n/a|Finance|Life Insurance|http://www.nasdaq.com/symbol/aek
AEHR|Aehr Test Systems|2.25|$28.6M|1997|Capital Goods|Electrical Products|http://www.nasdaq.com/symbol/aehr
AMTX|Aemetis, Inc|3.27|$64.93M|n/a|Basic Industries|Major Chemicals|http://www.nasdaq.com/symbol/amtx
AEPI|AEP Industries Inc.|52.47|$267.74M|1986|Capital Goods|Specialty Chemicals|http://www.nasdaq.com/symbol/aepi
AER|Aercap Holdings N.V.|48.22|$10.25B|2006|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/aer
AERI|Aerie Pharmaceuticals, Inc.|16.25|$417.5M|2013|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/aeri
ACY|AeroCentury Corp.|7.99|$12.33M|n/a|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/acy
HIVE|Aerohive Networks, Inc.|7.52|$350.86M|2014|Technology|EDP Services|http://www.nasdaq.com/symbol/hive
AJRD|Aerojet Rocketdyne Holdings, Inc. |22.59|$1.43B|n/a|Basic Industries|Specialty Chemicals|http://www.nasdaq.com/symbol/ajrd
ARO|Aeropostale Inc|1.47|$116.89M|2002|Consumer Services|Clothing/Shoe/Accessory Stores|http://www.nasdaq.com/symbol/aro
AVAV|AeroVironment, Inc.|26.77|$625.05M|2007|Capital Goods|Aerospace|http://www.nasdaq.com/symbol/avav
AEZS|AEterna Zentaris Inc.|0.1614|$22.58M|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/aezs
AEMD|Aethlon Medical, Inc.|9.42|$71.69M|n/a|Capital Goods|Biotechnology: Laboratory Analytical Instruments|http://www.nasdaq.com/symbol/aemd
AET|Aetna Inc.|117.09|$40.82B|n/a|Health Care|Medical Specialities|http://www.nasdaq.com/symbol/aet
AFM|Affiliated Managers Group, Inc.|25.38|n/a|n/a|Finance|Investment Managers|http://www.nasdaq.com/symbol/afm
AMG|Affiliated Managers Group, Inc.|211.83|$11.5B|n/a|Finance|Investment Managers|http://www.nasdaq.com/symbol/amg
MGR|Affiliated Managers Group, Inc.|26.29|n/a|2012|Finance|Investment Managers|http://www.nasdaq.com/symbol/mgr
AFMD|Affimed N.V.|13.55|$402.9M|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/afmd
AFFX|Affymetrix, Inc.|10.24|$817.36M|1996|Capital Goods|Biotechnology: Laboratory Analytical Instruments|http://www.nasdaq.com/symbol/affx
AFL|Aflac Incorporated|64.92|$27.96B|n/a|Finance|Accident &Health Insurance|http://www.nasdaq.com/symbol/afl
AFSD|Aflac Incorporated|25.18|n/a|n/a|Finance|Accident &Health Insurance|http://www.nasdaq.com/symbol/afsd
MITT|AG Mortgage Investment Trust, Inc.|17.3|$491.51M|2011|n/a|n/a|http://www.nasdaq.com/symbol/mitt
MITT^A|AG Mortgage Investment Trust, Inc.|24.74|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/mitt^a
MITT^B|AG Mortgage Investment Trust, Inc.|24.65|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/mitt^b
WGA|AG&E Holdings, Inc.|0.8897|$10.39M|n/a|Technology|Radio And Television Broadcasting And Communications Equipment|http://www.nasdaq.com/symbol/wga
AGCO|AGCO Corporation|57.87|$5.1B|n/a|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/agco
AGEN|Agenus Inc.|7.86|$662.66M|2000|Health Care|Biotechnology: Biological Products (No Diagnostic Substances)|http://www.nasdaq.com/symbol/agen
AGRX|Agile Therapeutics, Inc.|8.69|$192.94M|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/agrx
A|Agilent Technologies, Inc.|n/a|n/a|1999|Capital Goods|Biotechnology: Laboratory Analytical Instruments|http://www.nasdaq.com/symbol/a
AGYS|Agilysys, Inc.|9.77|$223.95M|n/a|Technology|EDP Services|http://www.nasdaq.com/symbol/agys
AGIO|Agios Pharmaceuticals, Inc.|99.67|$3.72B|2013|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/agio
GAS|AGL Resources, Inc.|48.64|$5.84B|n/a|Public Utilities|Oil/Gas Transmission|http://www.nasdaq.com/symbol/gas
AEM|Agnico Eagle Mines Limited|23.69|$5.15B|n/a|Basic Industries|Precious Metals|http://www.nasdaq.com/symbol/aem
ADC|Agree Realty Corporation|30.36|$551.51M|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/adc
GRO|Agria Corporation|1.71|$94.71M|2007|Consumer Non-Durables|Farming/Seeds/Milling|http://www.nasdaq.com/symbol/gro
AGU|Agrium Inc.|103.8|$14.82B|n/a|Basic Industries|Agricultural Chemicals|http://www.nasdaq.com/symbol/agu
AGFS|AgroFresh Solutions, Inc.|11.33|$312.28M|2014|Finance|Business Services|http://www.nasdaq.com/symbol/agfs
AGFSW|AgroFresh Solutions, Inc.|2.86|n/a|2014|Finance|Business Services|http://www.nasdaq.com/symbol/agfsw
AIMT|Aimmune Therapeutics, Inc.|22.97|$934.41M|2015|n/a|n/a|http://www.nasdaq.com/symbol/aimt
AIRI|Air Industries Group|9.2|$69.55M|n/a|Capital Goods|Military/Government/Technical|http://www.nasdaq.com/symbol/airi
AL|Air Lease Corporation|37.13|$3.81B|2011|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/al
AIRM|Air Methods Corporation|41.05|$1.61B|n/a|Transportation|Transportation Services|http://www.nasdaq.com/symbol/airm
APD|Air Products and Chemicals, Inc.|148.35|$31.89B|n/a|Basic Industries|Major Chemicals|http://www.nasdaq.com/symbol/apd
AIRT|Air T, Inc.|22.75|$53.97M|n/a|Transportation|Air Freight/Delivery Services|http://www.nasdaq.com/symbol/airt
ATSG|Air Transport Services Group, Inc|9.8|$639.3M|n/a|Transportation|Air Freight/Delivery Services|http://www.nasdaq.com/symbol/atsg
AYR|Aircastle Limited|23.9|$1.94B|2006|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/ayr
ARG|Airgas, Inc.|105.76|$7.9B|n/a|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/arg
AMCN|AirMedia Group Inc|4.78|$286.66M|2007|Technology|Advertising|http://www.nasdaq.com/symbol/amcn
AIXG|Aixtron SE|5.96|$671.7M|n/a|Technology|Industrial Machinery/Components|http://www.nasdaq.com/symbol/aixg
AKS|AK Steel Holding Corporation|3.33|$592.19M|n/a|Basic Industries|Steel/Iron Ore|http://www.nasdaq.com/symbol/aks
AKAM|Akamai Technologies, Inc.|75.01|$13.39B|1999|Miscellaneous|Business Services|http://www.nasdaq.com/symbol/akam
AKBA|Akebia Therapeutics, Inc.|9.62|$277.41M|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/akba
AKER|Akers Biosciences Inc|3.74|$19.24M|2014|Health Care|Biotechnology: In Vitro & In Vivo Diagnostic Substances|http://www.nasdaq.com/symbol/aker
AKRX|Akorn, Inc.|44.55|$5.1B|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/akrx
ALP^O|Alabama Power Company|27.04|n/a|n/a|Public Utilities|Electric Utilities: Central|http://www.nasdaq.com/symbol/alp^o
ALG|Alamo Group, Inc.|52.51|$597.84M|n/a|Capital Goods|Industrial Machinery/Components|http://www.nasdaq.com/symbol/alg
AGI|Alamos Gold Inc.|3.21|$820.17M|2015|Basic Industries|Precious Metals|http://www.nasdaq.com/symbol/agi
ALRM|Alarm.com Holdings, Inc.|17.54|$786.61M|2015|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/alrm
ALK|Alaska Air Group, Inc.|78.63|$10.01B|n/a|Transportation|Air Freight/Delivery Services|http://www.nasdaq.com/symbol/alk
ALSK|Alaska Communications Systems Group, Inc.|2.16|$108.52M|1999|Public Utilities|Telecommunications Equipment|http://www.nasdaq.com/symbol/alsk
AIN|Albany International Corporation|34.31|$1.1B|n/a|Basic Industries|Textiles|http://www.nasdaq.com/symbol/ain
AMRI|Albany Molecular Research, Inc.|21.42|$709.4M|1999|Health Care|Biotechnology: Commercial Physical & Biological Resarch|http://www.nasdaq.com/symbol/amri
ALB|Albemarle Corporation|52.69|$5.91B|n/a|Basic Industries|Major Chemicals|http://www.nasdaq.com/symbol/alb
ALU|Alcatel Lucent|3.66|$10.23B|n/a|Public Utilities|Telecommunications Equipment|http://www.nasdaq.com/symbol/alu
ABDC|Alcentra Capital Corp.|12.28|$165.99M|n/a|n/a|n/a|http://www.nasdaq.com/symbol/abdc
AA|Alcoa Inc.|n/a|n/a|n/a|Capital Goods|Metal Fabrications|http://www.nasdaq.com/symbol/aa
AA^|Alcoa Inc.|81.05|n/a|n/a|Capital Goods|Metal Fabrications|http://www.nasdaq.com/symbol/aa^
AA^B|Alcoa Inc.|36.26|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/aa^b
ADHD|Alcobra Ltd.|7.79|$164.97M|2013|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/adhd
ALDR|Alder BioPharmaceuticals, Inc.|41.9|$1.82B|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/aldr
AXX|Alderon Iron Ore Corp.|0.1549|$20.47M|n/a|Basic Industries|Precious Metals|http://www.nasdaq.com/symbol/axx
ALDX|Aldeyra Therapeutics, Inc.|8.12|$77.87M|2014|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/aldx
ALR|Alere Inc.|51.99|$4.46B|n/a|Health Care|Biotechnology: In Vitro & In Vivo Diagnostic Substances|http://www.nasdaq.com/symbol/alr
ALR^B|Alere Inc.|347.0001|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/alr^b
ALEX|Alexander & Baldwin Holdings, Inc.|36.38|$1.78B|n/a|Finance|Real Estate|http://www.nasdaq.com/symbol/alex
ALX|Alexander&#39;s, Inc.|389.42|$1.99B|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/alx
ARE|Alexandria Real Estate Equities, Inc.|92.16|$6.66B|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/are
ARE^E|Alexandria Real Estate Equities, Inc.|26.13|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/are^e
AXU|Alexco Resource Corp|0.33|$22.96M|n/a|Basic Industries|Precious Metals|http://www.nasdaq.com/symbol/axu
ALXN|Alexion Pharmaceuticals, Inc.|190.43|$43.07B|1996|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/alxn
